conversations
"[{'content': 'ما هو عنوان الكتاب الذي يظهر في طبعته الثانية؟', 'role': 'user'}
"[{'content': 'ما هو عنوان الكتاب الذي يعود إلى الكاتبة تالا عمر صالح؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو عنوان الكتاب الذي يعود للكاتب إسماعيل حمدي؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف الكتاب الذي يتوسط الكتب؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هي الشخصية التي يتناولهاالكتابان في الصورة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو عنوان الكتاب الذي يقع في الاسفل جهة اليسار؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من هو مؤلف الكتاب الذي يقع في الأعلى جهة اليمين؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هو الغرض الأساسي من هذا المستند؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما الدرجة التي حصل عليها الطالب في هذا المستند؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هي الفكرة الأساسية التي يناقشها النص؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'لأي سنة أُعِد هذا الاختبار؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'لأي مادة تعليمية أُعِد هذا الاختبار؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هو السؤال الأول في الاختبار؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما هي وظيفة هذا المستند؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما هي وظيفة هذا المستند؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'لأي موسم دراسي يعود هذا الاختبار؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'ما هي وظيفة هذا المستند؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من بين كل النشاطات في كل الدول، أي نشاط ثقافي يحقق أعلى قيمة في هذه الخريطة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'في مخطط مقارنة أداء القطاعات الاقتصادية، أي قطاع يظهر النسبة المئوية الأعلى؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى الرسم الذي يبيّن نسب العاملين في القطاعات الحكومية والخاصة، أي قطاع تصل  نسبته  في حكومي فقط إلى أعلى قيمة مقارنة بباقي القطاعات؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في مخطط معدل الأداء عبر القطاعات، أي قطاع يبدو أنه يحقق القيمة الأعلى بين القطاعات المعروضة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الرسم الدائري الخاص بالتوزيع النسبي للإنجاز، أي قطاع يتجاوز 19٪ ؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في الرسم الخاص بمعدل المواد الدراسية للعام 2023-2024، أي مادة تتفوق على غيرها بنحو واضح، حيث يتجاوز متوسطها 85٪؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'وفقًا لخريطة استخدام الإنترنت حسب نوع النشاط، في عمود (الألعاب) أي فئة عمرية لديها أعلى عدد للاستخدام؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'يشير الرسم البياني لتقييم الأداء في القطاعات المختلفة إلى أن قطاع ""الأسهم"" هو الأعلى، فما القطاع الذي يبدو ثاني أعلى نسبة بعده؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى رسم مقارنة توزيع العنصر سين عبر المهام، أي مهمة تظهر فيها القيم المتوسّطة للعنصر سين أعلى من بقية المهام؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'عند النظر إلى مصاريف الأسرة في مجال الصحة عبر الشهور، أي شهر تصل فيه قيمة الصرف إلى أعلى مستوى؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'إذا كان استهلاك الدولة يساوي ٥٥ طن من أي محصول تنتجه الدولة، فما المحصول الذي يتمتع بأكبر فرصة للتصدير؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'انظر إلى المخطط الذي يحتوي على أربعة أشرطة . أي من المهام  تَظهر بقيمتها الأبرز والأعلى في هذا الرسم؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'ما فارق الهطول المطري بين الربع الثاني والربع الأخير من السنة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى مخطط دائرة توزيع العاملين على القطاعات، ما القطاع الذي يتصدر؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'وفقًا لمنحنى التوقعات للربع الأول، أي قطاع يسجل الذروة الأعلى في نسبة النمو بين جميع القطاعات؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'كيف يمكن وصف نسبة المشاركين في نشاط المسرح مضافةً إلى نسبة المشاركين في الانشطة الرياضية بالمقارنة مع نسبة القُرّاء', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من خلال رسم اتجاه ارتفاع الأسعار المتوقع، أي قطاع يفوق جميع القطاعات الأخرى بقيمة؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'من خلال الدائرة ووفقاً للمخطط، ما العنصر الغذائي ذو النسبة الأعلى في الماء؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'في مخطط الرادار الذي يُظهر قيم لمختلف النماذج عبر المهام، أي نموذج يبدو أنه يحقق التمدد الأكبر في محور كشف الانتقال السرطاني مقارنة بباقي النماذج؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'ما المحصول الذي يظهر أكبر فارق بين الواردات والصادرات؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': ""في الرسم الذي يقارن قيم (الأعضاء، المجموعات، التكبير، WSIs، والقطع) عبر عدة نماذج، أي نموذج تظهر فيه أعلى قيمة على محور 'القطع'؟"", 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'استنادًا إلى خريطة الدقة المتوازنة، في عمود (تحليل الأنسجة) أي نموذج يسجل أعلى قيمة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'بناءً على الرسم الذي يرتّب الأعضاء تصاعديًا من حيث نسبة القطع، أي عضو يظهر في المرتبة الخامسة ضمن الأعضاء الأعلى نسبة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'من خلال الرسم،مجموع نسبة لبنان والكويت تتجاوز ــــــــ؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'أي منتج زراعي يبدو أنه يُصدَّر بأعلى كمية؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في منحنى دقة النماذج عند مستويات التكبير (٤٠ و ١٠٠)، أي نموذج يحافظ على أعلى دقة عبر  مستويات التكبير وفقًا لهذا الرسم؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالاطّلاع على الرسم السفلي الأيسر (F1) في حالة ""غير مسوى""، أي نموذج يُظهر القيمة الأعلى في هذا القياس؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'وفقًا لهذا المخطط، إذا جمعنا أصغر نسبتين هل يتخطى المجموع أعلى نسبة؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': ""في المقارنة بين النماذج A وB وC وD عبر عدة مهام، أي نموذج منها يهبط أداؤه بعد مهمة 'تحليل النصوص' ثم يرتفع مجددًا عند 'التفاعل اللغوي'؟"", 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الخريطة الحرارية لأداء الطلاب في المواد المختلفة، أي طالب يحصل على أعلى درجة في مادة الكيمياء؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'وفقًا لرسم أداء النموذج عبر المهام، في مهمة كشف الانتقال السرطاني تظهر ثلاثة نماذج (نموذج ٢ و نموذج ٣ و نموذج ٦) بمستوى مرتفع جدًا يقارب 100٪. أي من العبارات التالية صحيحة؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'استنادًا إلى صندوق الرسم البياني لمهمة كشف السرطان، أي نموذج تبدو لديه أعلى قيمة قصوى (نقطة متطرفة) مُسجّلة بين جميع النماذج؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من ضمن مصادر التلوث المذكورة، أي مصدر يجب أن يتستدعي انتباه المعنيين بشكل طارئ؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من خلال الخريطة الحرارية للقيمة الغذائية، أي صنف لديه أكبر تركيز من فيتامين C بين الفواكه والخضروات المعروضة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'عند مقارنة الفارق في الأداء بين نموذج Gemini ونموذج آخر في مهمة ""التعرف الضوئي على الحروف وفهم المستندات""، أي نموذج يحقق أكبر زيادة عن Gemini؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'من خلال منحنى خطأ المسافة المتوقعة عبر المهام، أي مهمة تبدو أنها تسجل أدنى معدل خطأ (أي أقرب ما يكون للأداء المثالي) على معظم النماذج؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الرسم الموضح للمقارنة بين النماذج، أي نموذج في مهمة تصنيف السرطان يظهر أقل انخفاض في الدقة؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': ""من خلال الرسم البياني لعدد القطع لكل عضو في الكشف عن السرطان، إذا جمعنا نسبة 'أخرى' مع نسبة 'الرئة'، فكيف يقاربان نسبة 'الكلى' تقريبًا؟"", 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'وفقًا لتوزيع المصاريف العائلية الشهرية في عام 2024، في أي شهر تُسجَّل الذروة الأعلى؟', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'في الرسم ذي التوزيع الدائري والعمودي معًا، ما العضو الذي يحل في المرتبة الثالثة من حيث نسبة عدد القطع؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'عند النظر إلى مهمة كشف السرطان في الرسم الذي يقارن الدقة بين البيانات النظيفة والمضللة عند ج=0.01، ما الفارق التقريبي في أداء نموذج ١ بين الحالتين؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'من خلال خريطة الدقة لمختلف مجموعات البيانات (فردي / مُجمع)، أي مجموعة (فردية) حقق فيها نموذج نموذج ٤ أعلى دقة مقارنة بباقي المجموعات الفردية؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': ""في الرسم الممتد لمعامل الارتباط ز بالنسبة لمهمة 'كشف الخلايا اللمفاوية المرتشحة (TIL)'، أي نموذج يبدو أنه يحرز القيمة الأعلى تقريبًا؟"", 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': ""في المخطط الذي يقسّم النتائج حسب النموذج وعلى مهام متعددة، أي نموذج يقترب أكثر من قيمة 0.3 في مهمة 'كشف عدم استقرار السائل الميكروي (MSI)'؟"", 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'في مخطط الرادار لأداء الطلاب في المواد الدراسية المختلفة، أي طالبة تَظهر وكأنها تملك المعدل الأوسع عبر معظم المواد، متجاوزة الآخرين إجمالًا؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'يظهر في معدل الطالبات للفصل الدراسي الأول (2023-2024) أن إحدى الطالبات تصل إلى نسبة مرتفعة، فمن هي؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في رسم دقة النماذج السبعةأي نموذج يسجل أقل دقة في أغلب مستويات التكبير ؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى الخريطة الحرارية لتشابه جودة الترجمة، أي نموذج حقق أعلى قيمة تشابه عند جملة (كانت الفتاة والصبي يلعبان كرة القدم في الفناء الخلفي)', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'بالنظر إلى الرسم البياني لتوزيع القطع حسب العضو، إذا جمعنا نسب الأعضاء الثلاثة الأعلى: القولون والمعدة والدماغ، فهل يقع مجموعها ضمن أي من الاحتمالات التالية؟', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'في الرسم الذي يعرض قيم (معامل الارتباط س) لمجموعة من النماذج وعدة مهام، أي مهمة من بين ( تقييم درجة السرطان، تصنيف الأنسجة، كشف الانتقال السرطاني) تميل إلى تسجيل أعلى قيم عمومًا؟', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي صورة تمثل فاجونيا إندكا؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'أ', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي قدم تنتمي إلى الدجاج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الملصق ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: سمِّ القدم عند الملصق و. اختر الإجابة الصحيحة من الخيارات أدناه', 'role': 'user'}
 {'content': 'الجرمانية', 'role': 'assistant'}]"
"[{'content': 'السؤال: أي من الملصقات يظهر النمط المحايد؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: القوس العالي يُظهر بأي حرف؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: الأنبوب الموضح عند أ يعرف باسم ماذا؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'زهري', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يمثله الحرف ج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'المبيض', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الطبقة الموجودة بين الفجوات والطبقة خلايا تحت البشرة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الميزوفيل', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما لاذي يميز النبات في الرسم المشار إليه بالحرف ج؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'كثافة الأوراق', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الحرف في الرسم البياني الذي يمكن أن يكون أفضل ممثل لمرحلة العذراء؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يتم تمثيله في المرحلة ما بين ب و ز؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الشباب', 'role': 'assistant'}]"
"[{'content': 'السؤال: النتيجة المباشرة بعد مرحلة الحورية تمثل في: اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ج', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما اسم الجسم الذي يقع في وسط الجزء ذي اللون الوردي الداكن في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'النوية', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يمثله الحرح ج في الرسم؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الحافة', 'role': 'assistant'}]"
"[{'content': 'السؤال: البراعم قريبة من أي جزء؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ساق الورقة', 'role': 'assistant'}]"
"[{'content': 'السؤال:إستناداً إلى الرسم، الجزء أ في الورقة هو؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الوريد الأوسط', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يميز الورقة أ ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ذات حافة ناعمة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو تمثيل الحرف أ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'البرعم', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي التسمية التي تنطبق على ز ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الطرف', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمثل الحرف ز؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'السويقة', 'role': 'assistant'}]"
"[{'content': 'السؤال: إلى أي شكل تتحول المخلوقات المتمثلة بالحرف ب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'البالغين', 'role': 'assistant'}]"
"[{'content': 'السؤال: إذا كانت العذراء موجودة في النقطة د، في أي نقطة يمكنك العثور على اليرقة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ب', 'role': 'assistant'}]"
"[{'content': 'السؤال: أين تحدث معظم عملية التمثيل الضوئي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الورقة', 'role': 'assistant'}]"
"[{'content': 'السؤال: أين تحدث عملية التمثيل الضوئي؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الورقة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الأجزاء الموجودةفي الجزء الأعلى من الرسم؟ اختر الإجابة الأصح من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الساق، الزهرة و الورقة', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يمثل الحرف ب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'القطب الشمالي', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما نوع الصورة التي تم تحسينها في المخطط أعلاه؟ اختر الإجابة الأصح من الخيارات أدناه.', 'role': 'user'}
 {'content': 'خلية حيوانية', 'role': 'assistant'}]"
"[{'content': 'السؤال: الصبار الجاف في المخطط مغطى بـ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ورق شمع ', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو اسم النجم الذي تدور الدائرة الخضراء في المخطط حوله؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الشمس.', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي مرحلة في الرسم التي تمثل الهلال المتناقص؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ح', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هو الرقم الذي يمثل الهلال الجديد؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '١', 'role': 'assistant'}]"
"[{'content': 'السؤال: متى يحدث الربع الأخير؟ اختر الإجابة الأصح من الخيارات أدناه.', 'role': 'user'}
 {'content': 'بعد ٢', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يحدث عندما يكون القمر بالوضع ج كما في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'قمر كامل', 'role': 'assistant'}]"
"[{'content': 'السؤال: المرحلة القمرية عند الحرف ج تخلق أي نوع من المد؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'مد الربيع', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يظهر الحرف هاء في الرسم البياني؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الشمس', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل الموضحة في الشكل؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '3', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد الأوراق الخضراء الواضحة عند أ و ب في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٥', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يمكن رؤيته في التسمية ب؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الأرض', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يظهر في المرحلة أ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'المد المنخفض', 'role': 'assistant'}]"
"[{'content': 'السؤال: ماذا يعني المد الظاهر في المخطط؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'المد والجزر المرتفع والمنخفض يحدثان في وقت القمر الجديد أو القمر الكامل عندما تكون الشمس والقمر والأرض تقريبًا في خط واحد.', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما الذي يدور الكوكب في الرقم ١ حوله ؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الشمس', 'role': 'assistant'}]"
"[{'content': 'السؤال: وفقًا لسلسلة الغذاء المعطاة، إذا تم اجتياح الأعشاب البحرية بسبب تسونامي، ماذا سيحدث؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'ستحل المعاناة بالنسبة للشبكة ككل', 'role': 'assistant'}]"
"[{'content': 'السؤال: من اليمين إلي اليسار ووفقاً للمخطط، أي كوكب يحل رابعاً؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'زحل', 'role': 'assistant'}]"
"[{'content': 'السؤال: من اليسار إلي اليمين ووفقاً للمخطط، أي من كواكبنا هو الخامس؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'المشتري', 'role': 'assistant'}]"
"[{'content': 'السؤال: كم عدد المراحل الموضحة في هذه المرحلة؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': '٤', 'role': 'assistant'}]"
"[{'content': 'السؤال: ما هي الحروف التي تشير إلى المد المنخفض؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'هـ وج', 'role': 'assistant'}]"
"[{'content': 'السؤال:الجزيئات أ و ج و د ، ما الذي تمثله؟ اختر الإجابة الصحيحة من الخيارات أدناه.', 'role': 'user'}
 {'content': 'الإلكترونات', 'role': 'assistant'}]"
